TIMESTAMP,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg
2017-04-11 06:00:00,2.7239999999999998,137.2,37.94,5.452000000000001,43.34,29.46
2017-04-11 07:00:00,2.459,181.3,26.07,6.433,45.17,29.48
2017-04-11 08:00:00,9.81,274.4,16.34,20.21,48.51,29.5
2017-04-11 09:00:00,10.47,278.5,14.19,19.09,48.6,29.52
2017-04-11 10:00:00,9.86,270.1,15.6,17.68,48.07,29.55
2017-04-11 11:00:00,11.84,267.6,17.15,20.98,49.11,29.57
2017-04-11 12:00:00,10.45,269.0,15.62,19.51,49.35,29.57
2017-04-11 13:00:00,9.87,262.0,19.67,16.18,50.89,29.57
2017-04-11 14:00:00,9.7,273.0,16.41,16.7,52.34,29.57
2017-04-11 15:00:00,9.98,264.6,18.1,18.28,53.04,29.57
2017-04-11 16:00:00,9.94,262.2,19.61,17.61,54.18,29.57
2017-04-11 17:00:00,9.28,264.0,14.83,15.62,54.46,29.58
2017-04-11 18:00:00,9.77,258.3,15.88,18.59,53.45,29.59
2017-04-11 19:00:00,8.28,256.9,13.59,14.53,51.73,29.6
2017-04-11 20:00:00,8.48,263.0,12.19,15.26,50.42,29.62
2017-04-11 21:00:00,7.942,268.4,13.03,14.07,49.44,29.64
2017-04-11 22:00:00,4.452,273.4,11.39,10.39,48.2,29.65
2017-04-11 23:00:00,4.239,254.1,16.09,7.905,47.07,29.66
2017-04-12 00:00:00,4.205,252.9,12.64,7.485,45.8,29.66
2017-04-12 01:00:00,3.198,318.8,42.75,7.905,44.28,29.66
2017-04-12 02:00:00,1.635,354.3,38.37,4.12,43.19,29.66
2017-04-12 03:00:00,0.9840000000000001,216.2,20.55,2.052,41.21,29.67
2017-04-12 04:00:00,1.008,255.1,28.59,2.052,40.48,29.68
2017-04-12 05:00:00,1.4,242.1,28.61,2.753,40.15,29.69
2017-04-12 06:00:00,1.436,277.7,15.88,2.508,40.66,29.71
2017-04-12 07:00:00,1.87,295.6,29.6,4.541,42.95,29.72
2017-04-12 08:00:00,4.439,11.36,33.61,10.22,46.52,29.74
2017-04-12 09:00:00,6.27,34.16,22.72,11.09,46.97,29.75
2017-04-12 10:00:00,6.62,57.96,24.07,11.09,47.85,29.77
2017-04-12 11:00:00,7.091,70.94,17.66,12.5,48.37,29.78
2017-04-12 12:00:00,8.29,60.44,20.12,14.35,47.75,29.78
2017-04-12 13:00:00,9.64,76.3,16.91,14.84,47.54,29.77
2017-04-12 14:00:00,9.19,74.46,16.67,16.42,47.51,29.75
2017-04-12 15:00:00,9.46,77.26,16.22,16.49,47.57,29.74
2017-04-12 16:00:00,8.61,81.3,15.96,14.14,48.16,29.73
2017-04-12 17:00:00,7.609,76.11,16.0,13.41,46.92,29.74
2017-04-12 18:00:00,7.266,77.26,15.63,13.23,46.19,29.75
2017-04-12 19:00:00,8.96,74.1,14.0,15.44,45.94,29.74
2017-04-12 20:00:00,6.95,77.56,18.08,14.46,45.68,29.74
2017-04-12 21:00:00,7.034,68.71,14.74,13.51,45.45,29.75
2017-04-12 22:00:00,6.775,77.9,15.87,12.85,45.55,29.75
2017-04-12 23:00:00,6.678,86.6,24.63,15.26,45.36,29.73
2017-04-13 00:00:00,6.527,68.62,18.96,13.37,45.29,29.71
2017-04-13 01:00:00,6.617999999999999,87.1,28.12,14.25,45.46,29.7
2017-04-13 02:00:00,2.932,87.5,36.43,6.223,46.58,29.69
2017-04-13 03:00:00,4.591,78.75,19.06,10.11,46.15,29.68
2017-04-13 04:00:00,5.567,53.93,37.69,13.3,46.09,29.68
2017-04-13 05:00:00,7.452999999999999,19.51,24.94,14.7,45.77,29.71
2017-04-13 06:00:00,6.825,44.0,16.36,13.58,45.38,29.71
2017-04-13 07:00:00,7.611000000000001,44.35,16.06,16.39,44.47,29.73
2017-04-13 08:00:00,7.881,77.09,18.8,15.09,44.27,29.72
2017-04-13 09:00:00,8.15,91.5,15.95,17.16,44.8,29.69
2017-04-13 10:00:00,5.53,102.7,22.63,14.6,47.09,29.67
2017-04-13 11:00:00,4.789,89.9,18.46,9.48,49.08,29.67
2017-04-13 12:00:00,5.421,86.0,16.17,10.46,49.82,29.64
2017-04-13 13:00:00,6.944,84.3,16.58,13.02,53.18,29.63
2017-04-13 14:00:00,7.617999999999999,77.11,15.34,12.88,55.06,29.62
2017-04-13 15:00:00,8.71,73.09,12.98,14.67,55.37,29.6
2017-04-13 16:00:00,8.45,66.22,16.2,15.12,55.64,29.6
2017-04-13 17:00:00,7.629,56.23,17.78,14.67,54.64,29.59
2017-04-13 18:00:00,6.57,53.19,18.16,15.62,52.78,29.6
2017-04-13 19:00:00,7.872999999999999,68.6,15.72,14.67,50.67,29.6
2017-04-13 20:00:00,6.136,83.4,17.71,12.22,51.37,29.62
2017-04-13 21:00:00,6.6610000000000005,71.94,15.94,12.81,49.72,29.63
2017-04-13 22:00:00,5.956,70.94,15.06,12.11,48.14,29.63
2017-04-13 23:00:00,5.7170000000000005,74.93,16.16,12.81,47.56,29.62
2017-04-14 00:00:00,5.337000000000001,79.75,15.27,10.57,46.96,29.62
2017-04-14 01:00:00,5.702999999999999,67.1,16.52,11.55,46.61,29.61
2017-04-14 02:00:00,5.362,72.43,16.2,11.09,45.95,29.6
2017-04-14 03:00:00,6.268,72.2,15.49,12.32,45.68,29.6
2017-04-14 04:00:00,5.417999999999999,56.9,18.2,10.29,45.63,29.6
2017-04-14 05:00:00,5.519,65.99,17.55,10.04,44.81,29.6
2017-04-14 06:00:00,4.4830000000000005,65.23,19.32,9.73,45.18,29.61
2017-04-14 07:00:00,7.006,65.86,13.46,12.36,45.85,29.62
2017-04-14 08:00:00,6.832000000000001,76.57,15.65,11.69,46.62,29.61
2017-04-14 09:00:00,5.683,80.2,17.17,12.46,48.41,29.61
2017-04-14 10:00:00,5.593,59.66,17.87,9.06,51.31,29.6
2017-04-14 11:00:00,7.215,66.6,15.19,12.36,53.07,29.58
2017-04-14 12:00:00,7.3020000000000005,75.57,14.67,12.46,55.02,29.56
2017-04-14 13:00:00,7.042000000000001,73.5,13.57,12.71,56.85,29.54
2017-04-14 14:00:00,5.915,43.22,18.74,9.73,57.07,29.52
2017-04-14 15:00:00,5.977,25.32,16.86,9.38,57.36,29.49
2017-04-14 16:00:00,6.081,22.5,15.32,9.45,56.56,29.47
2017-04-14 17:00:00,2.778,43.25,41.49,6.153,56.58,29.46
2017-04-14 18:00:00,3.75,229.7,75.13,19.86,61.16,29.45
2017-04-14 19:00:00,8.24,160.7,39.24,24.17,66.83,29.45
2017-04-14 20:00:00,7.38,222.2,29.82,21.82,62.58,29.5
2017-04-14 21:00:00,5.052,142.7,16.48,12.99,61.15,29.48
2017-04-14 22:00:00,7.011,155.6,16.26,16.0,61.43,29.46
2017-04-14 23:00:00,9.08,152.3,15.47,19.19,61.92,29.43
