,TIMESTAMP TS,RECORD RN,AWS Mph WVc,AWD Deg WVc,SIG Deg WVc,Gust Mph Max,AvgT Deg_F Avg,ABP InHg Avg,Ltemp Deg_F Max,Batt Vdc Min
130,2017-04-06 10:00:00,1388,17.82,343.6,23.17,41.9,41.16,29.16,48.38,13.48
131,2017-04-06 11:00:00,1389,19.03,344.4,23.13,38.43,41.7,29.19,53.48,14.5
132,2017-04-06 12:00:00,1390,15.91,343.4,23.86,33.21,42.67,29.2,55.66,13.48
133,2017-04-06 13:00:00,1391,16.72,345.8,22.17,33.0,42.87,29.22,55.74,13.48
134,2017-04-06 14:00:00,1392,14.47,354.4,25.01,29.35,43.02,29.24,56.76,13.48
135,2017-04-06 15:00:00,1393,13.52,349.5,23.79,27.6,43.63,29.25,56.76,13.48
136,2017-04-06 16:00:00,1394,12.86,352.6,24.32,25.22,43.21,29.26,55.48,13.61
137,2017-04-06 17:00:00,1395,11.48,350.2,23.78,24.2,43.28,29.28,53.35,13.61
138,2017-04-06 18:00:00,1396,9.9,354.2,23.73,22.66,41.83,29.3,51.95,13.61
139,2017-04-06 19:00:00,1397,9.36,357.2,23.73,18.8,40.46,29.31,46.63,13.6
140,2017-04-06 20:00:00,1398,9.03,358.3,22.42,20.84,39.79,29.34,41.71,13.6
141,2017-04-06 21:00:00,1399,9.22,4.361,22.35,21.68,39.55,29.36,40.01,13.61
142,2017-04-06 22:00:00,1400,9.01,1.748,22.16,19.82,39.8,29.37,39.01,13.61
143,2017-04-06 23:00:00,1401,8.19,356.6,23.84,18.59,39.82,29.38,38.97,13.6
144,2017-04-07 00:00:00,1402,9.84,345.4,20.62,21.43,39.84,29.38,38.89,13.6
145,2017-04-07 01:00:00,1403,10.75,337.6,24.79,24.45,40.9,29.38,39.58,13.61
146,2017-04-07 02:00:00,1404,8.53,315.3,24.7,20.59,40.38,29.37,39.62,13.61
147,2017-04-07 03:00:00,1405,8.17,309.4,20.23,15.55,39.19,29.38,39.16,13.61
148,2017-04-07 04:00:00,1406,7.439,318.8,25.13,17.02,38.95,29.38,38.0,13.61
149,2017-04-07 05:00:00,1407,8.15,323.8,26.55,19.96,39.13,29.39,37.42,13.61
150,2017-04-07 06:00:00,1408,8.17,327.8,25.96,21.82,38.89,29.41,37.5,13.61
151,2017-04-07 07:00:00,1409,9.95,327.1,26.2,23.12,39.87,29.43,39.08,13.61
152,2017-04-07 08:00:00,1410,11.95,342.1,25.03,26.48,40.69,29.45,40.4,13.61
153,2017-04-07 09:00:00,1411,12.96,345.3,24.39,28.27,40.82,29.46,46.35,13.61
154,2017-04-07 10:00:00,1412,12.44,343.5,24.71,28.34,41.35,29.48,51.99,13.61
155,2017-04-07 11:00:00,1413,12.43,347.5,23.63,26.44,42.47,29.48,55.91,13.61
156,2017-04-07 12:00:00,1414,11.85,358.2,25.72,24.62,42.75,29.49,57.01,13.61
157,2017-04-07 13:00:00,1415,11.34,355.5,25.32,22.76,43.69,29.49,58.26,13.61
158,2017-04-07 14:00:00,1416,10.61,358.0,25.77,23.05,44.93,29.48,58.65,13.61
159,2017-04-07 15:00:00,1417,10.65,11.38,23.29,18.45,46.14,29.47,59.04,13.61
160,2017-04-07 16:00:00,1418,10.18,20.83,18.23,17.82,46.67,29.46,58.69,13.62
161,2017-04-07 17:00:00,1419,8.47,31.54,18.68,15.65,45.51,29.46,58.0,13.62
162,2017-04-07 18:00:00,1420,5.354,64.94,24.37,11.41,45.16,29.45,55.78,13.62
163,2017-04-07 19:00:00,1421,2.588,100.8,34.88,7.029,42.56,29.44,52.65,13.61
164,2017-04-07 20:00:00,1422,1.923,164.3,42.88,4.015,41.57,29.44,43.86,13.61
165,2017-04-07 21:00:00,1423,3.043,199.6,12.05,5.171,41.07,29.44,40.28,13.61
166,2017-04-07 22:00:00,1424,3.462,187.1,11.92,5.978,41.26,29.43,39.55,13.61
167,2017-04-07 23:00:00,1425,3.712,194.4,13.76,6.819,41.41,29.42,40.55,13.61
168,2017-04-08 00:00:00,1426,2.221,218.6,17.92,5.487,41.09,29.42,40.59,13.61
169,2017-04-08 01:00:00,1427,3.351,206.1,14.02,6.503,40.79,29.42,39.47,13.61
170,2017-04-08 02:00:00,1428,4.104,202.5,12.1,8.08,41.17,29.41,40.12,13.61
171,2017-04-08 03:00:00,1429,3.941,207.1,12.76,8.4,40.51,29.41,39.58,13.61
172,2017-04-08 04:00:00,1430,4.451,202.2,14.82,8.85,40.36,29.41,38.39,13.61
173,2017-04-08 05:00:00,1431,4.166,183.7,12.53,6.819,39.88,29.41,38.27,13.61
174,2017-04-08 06:00:00,1432,4.379,182.6,13.72,7.94,39.91,29.42,38.42,13.61
175,2017-04-08 07:00:00,1433,5.922,185.1,14.52,10.25,42.01,29.44,41.09,13.61
176,2017-04-08 08:00:00,1434,6.719,190.8,15.97,12.74,46.56,29.43,45.83,13.62
177,2017-04-08 09:00:00,1435,9.07,198.3,17.02,16.28,52.17,29.42,56.16,13.62
178,2017-04-08 10:00:00,1436,10.72,208.2,21.83,19.89,55.74,29.4,63.52,13.62
179,2017-04-08 11:00:00,1437,11.87,204.4,21.78,21.64,57.85,29.38,69.49,13.63
180,2017-04-08 12:00:00,1438,11.59,197.6,20.11,22.45,61.06,29.35,72.86,13.63
181,2017-04-08 13:00:00,1439,12.37,211.8,17.92,22.52,63.01,29.33,74.19,13.63
182,2017-04-08 14:00:00,1440,12.3,193.3,19.4,22.48,65.07,29.31,75.12,13.63
183,2017-04-08 15:00:00,1441,13.6,185.4,21.09,22.98,65.97,29.27,75.12,13.63
184,2017-04-08 16:00:00,1442,13.78,182.1,17.49,25.25,66.73,29.25,74.19,13.63
185,2017-04-08 17:00:00,1443,12.88,181.8,16.88,24.31,66.16,29.23,73.83,13.63
186,2017-04-08 18:00:00,1444,12.23,179.1,16.98,25.11,64.99,29.22,71.35,13.63
187,2017-04-08 19:00:00,1445,10.45,176.2,15.57,19.86,63.31,29.22,67.75,13.62
188,2017-04-08 20:00:00,1446,9.43,172.6,14.67,17.3,61.19,29.23,63.52,13.62
189,2017-04-08 21:00:00,1447,9.83,181.8,15.62,18.84,60.11,29.23,60.97,13.62
190,2017-04-08 22:00:00,1448,10.85,194.7,16.28,21.5,58.88,29.23,59.69,13.62
191,2017-04-08 23:00:00,1449,9.27,196.2,17.98,17.61,58.66,29.23,58.52,13.62
192,2017-04-09 00:00:00,1450,10.45,193.6,16.08,19.96,58.38,29.23,57.53,13.62
193,2017-04-09 01:00:00,1451,11.35,190.2,16.3,23.92,58.01,29.22,57.74,13.62
194,2017-04-09 02:00:00,1452,10.66,192.2,15.23,22.73,58.37,29.2,57.96,13.62
195,2017-04-09 03:00:00,1453,10.49,192.9,14.96,20.07,58.27,29.19,57.96,13.62
196,2017-04-09 04:00:00,1454,10.31,199.4,14.72,21.22,57.48,29.19,57.83,13.62
197,2017-04-09 05:00:00,1455,9.15,192.8,15.43,19.23,56.57,29.18,57.01,13.62
198,2017-04-09 06:00:00,1456,8.69,196.5,15.99,16.95,56.41,29.18,56.38,13.62
199,2017-04-09 07:00:00,1457,10.02,194.8,15.48,19.86,57.24,29.19,57.57,13.62
200,2017-04-09 08:00:00,1458,11.46,201.3,18.36,23.64,59.81,29.19,61.41,13.62
201,2017-04-09 09:00:00,1459,13.72,200.7,15.45,26.55,63.18,29.18,67.85,13.62
202,2017-04-09 10:00:00,1460,12.37,199.8,16.86,25.92,65.41,29.17,72.86,13.63
203,2017-04-09 11:00:00,1461,12.75,192.6,16.5,25.95,67.66,29.15,75.02,13.63
204,2017-04-09 12:00:00,1462,13.01,193.8,16.79,23.54,70.25,29.13,77.99,13.63
205,2017-04-09 13:00:00,1463,13.46,193.7,18.44,26.48,73.29,29.11,82.7,13.63
206,2017-04-09 14:00:00,1464,14.48,198.2,17.18,28.93,75.09,29.09,84.0,13.49
207,2017-04-09 15:00:00,1465,16.3,202.2,16.91,32.61,76.5,29.06,84.9,13.49
208,2017-04-09 16:00:00,1466,17.05,189.5,16.29,32.26,75.42,29.04,84.6,13.5
209,2017-04-09 17:00:00,1467,16.47,187.2,16.19,34.61,75.68,29.03,81.2,13.48
210,2017-04-09 18:00:00,1468,16.03,190.5,16.22,33.84,74.28,29.03,79.2,13.48
211,2017-04-09 19:00:00,1469,15.64,197.6,15.84,31.95,72.32,29.05,76.22,11.8
212,2017-04-09 20:00:00,1470,13.21,200.1,14.86,26.06,70.3,29.07,73.72,11.79
213,2017-04-09 21:00:00,1471,13.26,202.5,15.95,26.66,69.71,29.08,71.95,12.21
214,2017-04-09 22:00:00,1472,14.29,203.6,15.25,27.18,69.57,29.07,71.5,11.71
215,2017-04-09 23:00:00,1473,14.09,199.9,15.58,28.86,68.6,29.07,71.5,11.72
216,2017-04-10 00:00:00,1474,13.77,201.2,15.45,31.32,68.13,29.08,71.3,11.53
217,2017-04-10 01:00:00,1475,14.63,210.3,14.22,27.6,68.09,29.08,70.71,11.63
218,2017-04-10 02:00:00,1476,14.81,210.6,14.09,28.13,68.11,29.09,70.56,13.48
219,2017-04-10 03:00:00,1477,12.63,206.2,16.48,24.13,66.62,29.08,70.17,13.62
220,2017-04-10 04:00:00,1478,14.75,212.6,12.2,26.59,66.25,29.08,68.04,13.62
221,2017-04-10 05:00:00,1479,14.15,211.1,12.35,28.55,66.26,29.1,67.47,13.48
222,2017-04-10 06:00:00,1480,12.54,215.4,14.89,24.69,65.76,29.14,67.18,13.63
223,2017-04-10 07:00:00,1481,13.14,239.3,17.43,26.2,65.25,29.19,67.18,13.63
224,2017-04-10 08:00:00,1482,12.78,225.6,23.37,25.99,64.19,29.22,65.87,13.63
225,2017-04-10 09:00:00,1483,10.24,203.1,18.07,19.44,66.89,29.14,71.6,13.63
226,2017-04-10 10:00:00,1484,11.18,207.9,15.44,23.57,74.05,29.15,80.4,13.63
227,2017-04-10 11:00:00,1485,15.71,204.8,15.11,29.74,73.03,29.19,81.0,13.48
228,2017-04-10 12:00:00,1486,14.96,191.0,15.96,29.21,72.09,29.2,80.1,13.48
229,2017-04-10 13:00:00,1487,11.33,218.8,25.14,28.72,67.27,29.22,77.08,13.63
230,2017-04-10 14:00:00,1488,9.96,208.2,17.88,21.75,69.62,29.22,74.65,13.62
231,2017-04-10 15:00:00,1489,11.09,193.7,17.93,22.73,70.21,29.19,74.81,13.63
232,2017-04-10 16:00:00,1490,14.92,199.2,17.65,32.09,67.09,29.18,73.93,13.62
233,2017-04-10 17:00:00,1491,12.95,209.0,20.91,28.97,66.88,29.18,69.44,13.48
234,2017-04-10 18:00:00,1492,11.17,211.5,20.52,26.97,67.43,29.2,71.01,13.62
235,2017-04-10 19:00:00,1493,10.48,7.694,24.05,21.29,45.09,29.26,70.22,13.6
236,2017-04-10 20:00:00,1494,7.98,17.82,18.38,15.79,44.03,29.29,53.19,13.6
237,2017-04-10 21:00:00,1495,9.9,15.24,18.15,18.03,41.88,29.33,48.06,13.61
238,2017-04-10 22:00:00,1496,7.332,0.417,23.25,17.16,40.93,29.34,44.92,13.61
239,2017-04-10 23:00:00,1497,7.972,17.61,18.19,14.56,40.71,29.35,43.83,13.61
240,2017-04-11 00:00:00,1498,7.253,12.65,21.21,14.39,39.87,29.36,43.24,13.61
241,2017-04-11 01:00:00,1499,5.762,23.54,20.05,10.01,39.8,29.36,42.5,13.61
242,2017-04-11 02:00:00,1500,4.793,15.99,23.24,10.39,40.15,29.38,42.57,13.61
243,2017-04-11 03:00:00,1501,4.678,25.59,36.01,10.08,40.35,29.39,42.73,13.61
244,2017-04-11 04:00:00,1502,2.459,75.35,44.96,5.452,40.55,29.41,43.2,13.61
245,2017-04-11 05:00:00,1503,3.118,120.6,22.34,6.573,41.36,29.44,43.94,13.61
246,2017-04-11 06:00:00,1504,2.724,137.2,37.94,5.452,43.34,29.46,45.12,13.62
247,2017-04-11 07:00:00,1505,2.459,181.3,26.07,6.433,45.17,29.48,47.18,13.62
248,2017-04-11 08:00:00,1506,9.81,274.4,16.34,20.21,48.51,29.5,50.85,13.62
249,2017-04-11 09:00:00,1507,10.47,278.5,14.19,19.09,48.6,29.52,52.36,13.61
250,2017-04-11 10:00:00,1508,9.86,270.1,15.6,17.68,48.07,29.55,52.53,13.61
251,2017-04-11 11:00:00,1509,11.84,267.6,17.15,20.98,49.11,29.57,54.6,13.61
252,2017-04-11 12:00:00,1510,10.45,269.0,15.62,19.51,49.35,29.57,55.95,13.61
253,2017-04-11 13:00:00,1511,9.87,262.0,19.67,16.18,50.89,29.57,58.47,13.62
254,2017-04-11 14:00:00,1512,9.7,273.0,16.41,16.7,52.34,29.57,60.79,13.62
255,2017-04-11 15:00:00,1513,9.98,264.6,18.1,18.28,53.04,29.57,60.35,13.62
256,2017-04-11 16:00:00,1514,9.94,262.2,19.61,17.61,54.18,29.57,60.44,13.62
257,2017-04-11 17:00:00,1515,9.28,264.0,14.83,15.62,54.46,29.58,60.13,13.62
258,2017-04-11 18:00:00,1516,9.77,258.3,15.88,18.59,53.45,29.59,59.21,13.62
259,2017-04-11 19:00:00,1517,8.28,256.9,13.59,14.53,51.73,29.6,56.76,13.62
260,2017-04-11 20:00:00,1518,8.48,263.0,12.19,15.26,50.42,29.62,53.11,13.61
261,2017-04-11 21:00:00,1519,7.942,268.4,13.03,14.07,49.44,29.64,51.54,13.61
262,2017-04-11 22:00:00,1520,4.452,273.4,11.39,10.39,48.2,29.65,50.44,13.61
263,2017-04-11 23:00:00,1521,4.239,254.1,16.09,7.905,47.07,29.66,47.22,13.61
264,2017-04-12 00:00:00,1522,4.205,252.9,12.64,7.485,45.8,29.66,45.83,13.61
265,2017-04-12 01:00:00,1523,3.198,318.8,42.75,7.905,44.28,29.66,44.53,13.61
266,2017-04-12 02:00:00,1524,1.635,354.3,38.37,4.12,43.19,29.66,42.92,13.61
267,2017-04-12 03:00:00,1525,0.984,216.2,20.55,2.052,41.21,29.67,41.29,13.61
268,2017-04-12 04:00:00,1526,1.008,255.1,28.59,2.052,40.48,29.68,39.58,13.61
269,2017-04-12 05:00:00,1527,1.4,242.1,28.61,2.753,40.15,29.69,38.47,13.61
270,2017-04-12 06:00:00,1528,1.436,277.7,15.88,2.508,40.66,29.71,38.35,13.61
271,2017-04-12 07:00:00,1529,1.87,295.6,29.6,4.541,42.95,29.72,41.29,13.61
272,2017-04-12 08:00:00,1530,4.439,11.36,33.61,10.22,46.52,29.74,45.79,13.61
